-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-17.5,-63.75,2023,318,25.64
-17.5,-63.125,2023,318,26.58
-17.5,-62.5,2023,318,26.78
-17.0,-63.75,2023,318,26.94
-17.0,-63.125,2023,318,26.9
-17.0,-62.5,2023,318,26.7
-16.5,-63.75,2023,318,26.96
-16.5,-63.125,2023,318,26.87
-16.5,-62.5,2023,318,25.99
-18.5,-63.75,2023,319,21.25
-18.5,-63.125,2023,319,26.33
-18.5,-62.5,2023,319,26.94
-18.0,-63.75,2023,319,22.25
-18.0,-63.125,2023,319,26.23
-18.0,-62.5,2023,319,27.01
-17.5,-63.75,2023,319,26.04
-17.5,-63.125,2023,319,26.94
-17.5,-62.5,2023,319,27.11
-17.0,-63.75,2023,319,27.36
-17.0,-63.125,2023,319,27.18
-17.0,-62.5,2023,319,26.94
-16.5,-63.75,2023,319,27.33
-16.5,-63.125,2023,319,27.03
-16.5,-62.5,2023,319,26.1
-18.5,-63.75,2023,320,22.11
-18.5,-63.125,2023,320,27.1
-18.5,-62.5,2023,320,27.44
-18.0,-63.75,2023,320,22.85
-18.0,-63.125,2023,320,26.76
-18.0,-62.5,2023,320,27.34
-17.5,-63.75,2023,320,26.51
-17.5,-63.125,2023,320,27.33
-17.5,-62.5,2023,320,27.26
-17.0,-63.75,2023,320,27.75
-17.0,-63.125,2023,320,27.45
-17.0,-62.5,2023,320,26.93
